Nr, C, P, Nr, C, P,
32, ed, ,207, B, ,
37, ed, ,212, C, ,
42, ed, ,217, A, ,
47, ed, ,222, B, ,
52, ed, ,227, A, ,
57, ed, ,232, A, ,
62, ed, ,237, A, ,
67, ed, ,242, C, ,
72, ed, ,247, C, ,
77, ed, ,252, C, ,
82, ed, ,257, B, ,
87, ed, ,262, C, ,
92, ed, ,267, B, ,
97, ed, ,272, C, ,
102, ed, ,277, C, ,
107, ed, ,282, C, ,
112, ed, ,287, A, ,
117, ed, ,292, A, ,
122, ed, ,297, B, ,
127, ed, ,302, C, ,
132, ed, ,307, C, ,
137, ed, ,312, A, ,
142, ed, ,317, A, ,
147, ed, ,322, A, ,
152, ed, ,327, C, ,
157, ed, ,332, C, ,
162, ed, ,337, A, ,
167, ed, ,342, C, ,
172, ed, ,347, B, ,
177, ed, ,352, C, ,

