Nr, C, P, Nr, C, P,
32, ed, ,207, A, ,
37, ed, ,212, B, ,
42, ed, ,217, A, ,
47, ed, ,222, B, ,
52, ed, ,227, C, ,
57, ed, ,232, C, ,
62, ed, ,237, B, ,
67, ed, ,242, C, ,
72, ed, ,247, C, ,
77, ed, ,252, C, ,
82, ed, ,257, B, ,
87, ed, ,262, C, ,
92, ed, ,267, C, ,
97, ed, ,272, A, ,
102, ed, ,277, A, ,
107, ed, ,282, C, ,
112, ed, ,287, C, ,
117, ed, ,292, A, ,
122, ed, ,297, A, ,
127, ed, ,302, B, ,
132, ed, ,307, A, ,
137, ed, ,312, C, ,
142, ed, ,317, B, ,
147, ed, ,322, A, ,
152, ed, ,327, C, ,
157, ed, ,332, A, ,
162, ed, ,337, C, ,
167, ed, ,342, C, ,
172, ed, ,347, A, ,
177, ed, ,352, C, ,

